sp;;;;;;;;;;;;;;;
[] = diese Art ist außerhalb des Plotes gewachsen;;;;;;;;;;;;;;;
Skala: Londo, alle Werte bereits in Deckungen, keine Transformation nötig;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Gebiet;Schachtenhaus;Schachtenhaus;Schachtenhaus;Schachtenhaus;Schachtenhaus;Schachtenhaus;Schachtenhaus;Schachtenhaus;Schachtenhaus;Schachtenhaus;Schachtenhaus;Schachtenhaus;Schachtenhaus;Schachtenhaus;Schachtenhaus
Plot-ID;Sch-BergU-4;Sch-CaBi-1;Sch-CaBi-2;Sch-CaBi-3;Sch-CaBi-4;Sch-CaBi-5;Sch-BergU-1;Sch-BergU-2;Sch-BergU-3;Sch-BergU-5;Sch-NarU-1;Sch-NarU-2;Sch-NarU-3;Sch-NarU-4;Sch-NarU-5
DB_Jehl_Aufnahmefläche;;;;;;;;;;;;;;;
DB_Jehl_Aufnahme;;;;;;;;;;;;;;;
Datum:      ;14.07.2020;14.07.2020;14.07.2020;22.07.2020;22.07.2020;22.07.2020;22.07.2020;22.07.2020;22.07.2020;22.07.2020;22.07.2020;22.07.2020;22.07.2020;22.07.2020;22.07.2020
Bearbeiter:;Lea & Conny;Lea & Conny;Lea & Conny;Lea;Lea;Lea;Lea;Lea;Lea;Lea;Lea;Lea;Lea;Lea;Lea
Flächengröße;4 m2;;;;;;;;;;;;;;
Management;ungemäht;ungemäht;ungemäht;ungemäht;ungemäht;ungemäht;ungemäht;ungemäht;ungemäht;ungemäht;ungemäht;ungemäht;ungemäht;ungemäht;ungemäht
Silene dioica;;;;;;;;;;;;;;;
Soldanella montana;;;;;;;;;;;;;;;
Stellaria alsine;;;;;;;;;;;;;;;
Stellaria graminea;0,5;;;;;;2;1;1;0,5;;;;;
Stellaria nemorum;;;;;;;;;;;;;;;
Stellaria spec.;;;;;;;;;;;;;;;
Taraxacum officinale;;;;;;;;;;;;;;;
Tephroseris crispa;;;;;;;;;;;;;;;
Trifolium pratense;;;;;;;;;;;;;;;
Trifolium repens;1;;;;;;10;8;10;1;;;;;
Urtica dioica ;;;;;;;;;;;;;;;
Vaccinicum myrtillus;;;;;;;;;;;2;5;;;
Vaccinium myrtillus S;;;;;;;;;;;;;;;
Vaccinium vitis-idea;;;;;;;;;;;;;;;
Valeriana dioica;;;;;;;;;;;;;;;
Veronica beccabunga;;;;;;;;;;;;;;;
Veronica chamaedrys;5;;;;;;7;10;5;10;;;;;
Veronica scutellata;;;;;;;;;;;;;;;
Veronica officinalis;;;;;;;;;;;;;;;
Viola palustris;;;;;;;;;;;;;;;
Willemetia stipitata;;;;;;;;;;;;;;;
Sphagnum sec. ;;;;;;;;;;;;;;;
Climatium dendroides;;;;;;;;;;;;;;;
Plagiomnium undulatum;;;;;;;;;;;;;;;
Pellia epiphylla;;;;;;;;;;;;;;;
Rhytidiadelphus squarrosus;;;;;;;;;;;;;;;
Anmerkung:;äquivalent zu Agr (gemäht);;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Weitere:;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
alopecurus pratensis;0,1;;;;;;;;;;;;;;
leucanthemum vulgare;1;;;;;;0,3;0,3;;0,3;;;;;
vicia cracca;3;;;;;;;;0,3;;;;;;
silene dioica;;;;;;;;;;0,1;;;;;
sorbus aucuparia;;;;;;;;;;;0,1;;;;
