;Gebiet;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;Ruckowitzschachten;Ruckowitzschachten;Ruckowitzschachten;Ruckowitzschachten;Ruckowitzschachten;Ruckowitzschachten;Ruckowitzschachten;Ruckowitzschachten;Ruckowitzschachten;Ruckowitzschachten;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;
;Plot-ID;1A;;1B;;1C;;1D;;1E;;2A;;2B;;2C;;3A;;3B;;3C;;3D;;3E;;4A;;4B;;4C;;5A;;5B;;5C;;5D;;6A;;6B;;6C;;6D;;7A;;7B;;7C;;7D;;7E;;8A;;8B;;8C;;9A;;9B;;9C;;10A;;10B;;10C;;11;;12A;;12B;;12C;;12D;;12E;;Jehl_1;Jehl_2;Jehl_3;Jehl_4;Jehl_5;Jehl_7;Jehl_8;Jehl_9;Jehl_10;Jehl_11;Jehl_12;11A;;11B;;11C;;11D;;11E;
;;Cov.;Höhe min/max;Cov.;Höhe min/max;Cov.;Höhe min/max;Cov.;Höhe min/max;Cov.;Höhe min/max;Cov.;Höhe min/max;Cov.;Höhe min/max;Cov.;Höhe min/max;Cov.;Höhe min/max;Cov.;Höhe min/max;Cov.;Höhe min/max;Cov.;Höhe min/max;Cov.;Höhe min/max;Cov.;Höhe min/max;Cov.;Höhe min/max;Cov.;Höhe min/max;Cov.;Höhe min/max;Cov.;Höhe min/max;Cov.;Höhe min/max;Cov.;Höhe min/max;Cov.;Höhe min/max;Cov.;Höhe min/max;Cov.;Höhe min/max;Cov.;Höhe min/max;Cov.;Höhe min/max;Cov.;Höhe min/max;Cov.;Höhe min/max;Cov.;Höhe min/max;Cov.;Höhe min/max;Cov.;Höhe min/max;Cov.;Höhe min/max;Cov.;Höhe min/max;Cov.;Höhe min/max;Cov.;Höhe min/max;Cov.;Höhe min/max;Cov.;Höhe min/max;Cov.;Höhe min/max;Cov.;Höhe min/max;Cov.;Höhe min/max;Cov.;Höhe min/max;Cov.;Höhe min/max;Cov.;Höhe min/max;Cov.;Höhe min/max;Cov.;Höhe min/max;Cov.;Cov.;Cov.;Cov.;Cov.;Cov.;Cov.;Cov.;Cov.;Cov.;Cov.;Cov.;Höhe min/max;Cov.;Höhe min/max;Cov.;Höhe min/max;Cov.;Höhe min/max;Cov.;Höhe min/max
g;Agrostis capillaris;0,1;7;22;70;0,5;50;10;40;13;50;58;70;5;65;5;55;2;40;12;50;10;95;10;60;0,1;40;;;10;70;10;47;;;20;44;5;35;10;68;25;40;13;60;25;43;17;55;14;45;15;40;15;49;20;45;15;55;10;48;8;58;16;49;7;58;3;52;10;40;15;70;;;;;;;14;60;15;45;11;48;5;25;;;;;;;;;;;;;;12;41;3;40;15;41;10;38;7;44
g;Agrostis canina;;;;;;;;;;;;;;;;;;;;;10;70;;;;;10;9;10;80;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;50;5;57;5;65;;;;;;;;;;;;;3;3;3;10;25;20;15;4;10;1;1;;;;;;;;;;
g;Anthoxanthum odoratum;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;58;;;;;;;;;;;;;;;2;3;;1;;5;5;;3;2;3;;;;;;;;;;
g;Calamagrostis villosa;;;;;;;;;;;;;;;;;;;;;0,5;82;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
g;Carex brizoides ;99;40;0,1;17;;;;;;;;;;;;;;;;;0,1;40;;;;;;;;;;;98;40;;;;;;;;;0,1;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;34;;;;;;;;;;;;;;;;30;;;;;;;;;;;;;;;;;
g;Carex demissa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
g;Carex echinata;;;;;;;;;;;;;0,1;38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,1;40;;;2;28;;;;;;;;;;;;;0,5;0,5;;;;;;;;;;;;;;;;;;;
g;Carex flava agg.;;;;;;;;;;;;;;;;;;;;;[0,1];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,1;25;;;;;;;;;;;;;;;;;;;;;;;;;0,5;;;;;;;;;;
g;Carex flava s.str.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,5;;;;;;;;;;;
